,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
0,Versus,$$ • Comida rápida,4.3,(34),"Carrera 13# 8n -39, Quindío 630003 • Más información",https://www.ubereats.com/co/armenia/food-delivery/versus/UhZCYICBSu2cwJoiF5kfHQ
1,Don Jacobo Postres y Ponques - Armenia,$ • Postres,4.8,(52),"Cra. 14 No. 9 Norte-69, Av. Bolivar, Armenia, Quindío, Colombia,  • Más información",https://www.ubereats.com/co/armenia/food-delivery/don-jacobo-postres-y-ponques-armenia/vhYajc-nSo2J1N8nubLqJw
2,Le Ricette Pizza,$$ • Italiana,,,"630001 Cra. 6 #13n-27 Local, Armenia, Quindío 630004 • Más información",https://www.ubereats.com/co/armenia/food-delivery/le-ricette-pizza/GNCrqZHSTpSS5JYo3Q_h2w
3,Versus,$$ • Comida rápida,4.3,(34),"Carrera 13# 8n -39, Quindío 630003 • Más información",https://www.ubereats.com/co/armenia/food-delivery/versus/UhZCYICBSu2cwJoiF5kfHQ
4,Don Jacobo Postres y Ponques - Armenia,$ • Postres,4.8,(52),"Cra. 14 No. 9 Norte-69, Av. Bolivar, Armenia, Quindío, Colombia,  • Más información",https://www.ubereats.com/co/armenia/food-delivery/don-jacobo-postres-y-ponques-armenia/vhYajc-nSo2J1N8nubLqJw
5,Le Ricette Pizza,$$ • Italiana,,,"630001 Cra. 6 #13n-27 Local, Armenia, Quindío 630004 • Más información",https://www.ubereats.com/co/armenia/food-delivery/le-ricette-pizza/GNCrqZHSTpSS5JYo3Q_h2w
6,BoticaSol,$$ • Saludable,,,"Cl. 5 Nte. #14–06, Armenia, Quindío 630004 • Más información",https://www.ubereats.com/co/armenia/food-delivery/boticasol/gpqeUDgPRxOb835gGLi99w
7,Baronesa,$$ • Latina fusión,4.8,(37),"Armenia, Quindío, Colombia, Mall Del Rio,  • Más información",https://www.ubereats.com/co/armenia/food-delivery/baronesa/HlYN61-gRO6KL4jfqq1ojg
8,Popsy - Portal Quindio,$ • Helado y yogur helado,4.8,(37),"Centro Comercial Portal De Quindio Avenida 14 No. 19 - 46 Nivel 1 Local N1-23, Armenia, Armenia 630003 • Más información",https://www.ubereats.com/co/armenia/food-delivery/popsy-portal-quindio/GhGMSeHWSeOO7-f0sUAqiw
9,Popsy - Unicentro Armenia,$ • Helado y yogur helado,4.7,(70),"Unicentro, Armenia, Quindío 630001 • Más información",https://www.ubereats.com/co/armenia/food-delivery/popsy-unicentro-armenia/G9HQCHJZRwqzOwNLV8ItcA
10,Café 360,$$ • Comida rápida,,,"Armenia, Quindio, Colombia, Carrera 14 # 14n-34,  • Más información",https://www.ubereats.com/co/armenia/food-delivery/cafe-360/aOxJpthzTQu1uUmEj0LTxA
11,Popsy - Portal Quindio,$ • Helado y yogur helado,4.8,(37),"Centro Comercial Portal De Quindio Avenida 14 No. 19 - 46 Nivel 1 Local N1-23, Armenia, Armenia 630003 • Más información",https://www.ubereats.com/co/armenia/food-delivery/popsy-portal-quindio/GhGMSeHWSeOO7-f0sUAqiw
12,Icetrology,$$ • Helado y yogur helado,,,"Norte 60,, Cra. 6 #319, Armenia, Quindío, Colombia,  • Más información",https://www.ubereats.com/co/armenia/food-delivery/icetrology/a2hPGnDQRfGA_JoR2JNOqw
13,Popsy - Unicentro Armenia,$ • Helado y yogur helado,4.7,(70),"Unicentro, Armenia, Quindío 630001 • Más información",https://www.ubereats.com/co/armenia/food-delivery/popsy-unicentro-armenia/G9HQCHJZRwqzOwNLV8ItcA
