,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
0,Piali,$ • Pizza,4.5,(33),"Carrera 22 #9-45, Armenia, Armenia 630003 Colombia, Armenia 110221 • Más información",https://www.ubereats.com/co/armenia/food-delivery/piali/gcDAW8dkSpGFa7G-nvkehw
1,Urban Pizzería (Armenia),$$ • Pizza,4.6,(91),"Av. Centenario Carrera 6, Cra 6 #8N-40, Armenia, Quindío 630004 • Más información",https://www.ubereats.com/co/armenia/food-delivery/urban-pizzeria-armenia/bVpxAzDDQ42Mv9IAvmkvtg
2,Mundial Pizza's,$$ • Pizza,,,"Av Bolívar # 19-46, Armenia, Quindio 110221 • Más información",https://www.ubereats.com/co/armenia/food-delivery/mundial-pizzas/LtB5pxmyRNWVPjF85K4qgQ
3,Oeste Pizza,$$ • Italiana • Pizza,4.5,(11),"Cra. 14a, Armenia, Quindío, Colombia,  • Más información",https://www.ubereats.com/co/armenia/food-delivery/oeste-pizza/1hb90vymQFyQ_m_y8zMZ8Q
4,Parma Pizza,$$ • Italiana,4.4,(31),"Cra. 6 ##3180, Armenia, Quindío, Colombia, Local 220,  • Más información",https://www.ubereats.com/co/armenia/food-delivery/parma-pizza/umiGVtjiS2uz-8QYSa3OVw
5,La Pizzeria (Jardín Bolivar),$$ • Italiana,,,"Jardín, Bolívar, Av. Bolívar ##14n-34, Armenia, Quindío, Colombia, Calle 22Norte 17-15,  • Más información",https://www.ubereats.com/co/armenia/food-delivery/la-pizzeria-jardin-bolivar/bxMAhdELRpS7L6MoF5c9tg
6,Le Ricette Pizza,$$ • Italiana,,,"630001 Cra. 6 #13n-27 Local, Armenia, Quindío 630004 • Más información",https://www.ubereats.com/co/armenia/food-delivery/le-ricette-pizza/GNCrqZHSTpSS5JYo3Q_h2w
7,Versus,$$ • Comida rápida,4.3,(34),"Carrera 13# 8n -39, Quindío 630003 • Más información",https://www.ubereats.com/co/armenia/food-delivery/versus/UhZCYICBSu2cwJoiF5kfHQ
8,Expedicion Cafe,$$ • Americana,,,"Calle 5 Norte, Carrera 18 A, Armenia, Quindío, Colombia, Esquina, Quindío 630004 • Más información",https://www.ubereats.com/co/armenia/food-delivery/expedicion-cafe/bfxk0l7_SuuRDA25vY-nEg
9,Cirano,$$ • Latina fusión,,,"Cl. 22 Nte. #15-25, Armenia, Quindío, Colombia,  • Más información",https://www.ubereats.com/co/armenia/food-delivery/cirano/FWd-CLz0S8ewRIRglEaaig
10,IIK El Naco (Mall La Avenida),$$ • Mexicana,,,"Cra. 14 #26 Norte-111 A 26 Norte-171, Armenia, Quindío 630004 • Más información",https://www.ubereats.com/co/armenia/food-delivery/iik-el-naco-mall-la-avenida/gNelqVHPQJaj8Sr-6gnouQ
11,Bak Mexican Taqueria,$$ • Mexicana,4.2,(21),"Carrera 12 #, Cl. 1an ##02, Armenia, Quindío, Colombia,  • Más información",https://www.ubereats.com/co/armenia/food-delivery/bak-mexican-taqueria/hHc6oTgSTUin1PX8KtsxJA
12,Náhuatl comida mexicana tradicional,$$ • Mexicana,,,"#319, Container City, Cra. 6, Armenia, Quindío, Colombia,  • Más información",https://www.ubereats.com/co/armenia/food-delivery/nahuatl-comida-mexicana-tradicional/vpnbwjIQQzmZdFbpY-gx0w
13,Saramama Arepas Rellenas,$ • Latina,,,"Carrera 19 #22n-59 Edificio Brisas De Laureles - Local 13, Armenia, Quindio 630004 Colombia, Quindio 110221 • Más información",https://www.ubereats.com/co/armenia/food-delivery/saramama-arepas-rellenas/7AIdCnizThahxjsqtaLdRQ
14,Tiempo Libre Café,$ • Latina,,,"Carrera 23 # 11 58 Barrio Granada, Armenia, Quindio 630004 Colombia, Quindio 110221 • Más información",https://www.ubereats.com/co/armenia/food-delivery/tiempo-libre-cafe/X_INeQTDRjeW6pIVvQCmFA
15,Rugar 84,$$ • Americana moderna,4.8,(40),"Carrera 19 # 5 Norte 22, Quindío 630004 • Más información",https://www.ubereats.com/co/armenia/food-delivery/rugar-84/hdMLzAFvTDqRv3-SZD_8bQ
16,KFC (Portal Quindio),$ • Pollo • Comida rápida,4.4,(37),"Carrera #19-46, Local 1, Armenia, Quindío 630004 • Más información",https://www.ubereats.com/co/armenia/food-delivery/kfc-portal-quindio/zqVRQJqHSbuhnMJMXB9E7Q
17,Versus,$$ • Comida rápida,4.3,(34),"Carrera 13# 8n -39, Quindío 630003 • Más información",https://www.ubereats.com/co/armenia/food-delivery/versus/UhZCYICBSu2cwJoiF5kfHQ
18,You know (Nisa Bulevar),$$ • Comida rápida,4.7,(60),"Carrera 19 No. 19 Norte -00, Quindío 630003 • Más información",https://www.ubereats.com/co/armenia/food-delivery/you-know-nisa-bulevar/hSURRKV8Q4Co1AwN-8SXsg
19,You Know (El Nogal),$$ • Comida rápida,,,"Carrera 11 # 16 Norte 77, Armenia, Quindío 630004 • Más información",https://www.ubereats.com/co/armenia/food-delivery/you-know-el-nogal/B_a4Xr3iSXGhSt75Gi6MXA
20,Café 360,$$ • Comida rápida,,,"Armenia, Quindio, Colombia, Carrera 14 # 14n-34,  • Más información",https://www.ubereats.com/co/armenia/food-delivery/cafe-360/aOxJpthzTQu1uUmEj0LTxA
21,Ey Parce,$$ • Comida rápida,,,"Carrera 15 #18n Cerca Del Parque, Armenia, Quindío 000006 • Más información",https://www.ubereats.com/co/armenia/food-delivery/ey-parce/bAecevtjQEmfVuxupgEfdw
22,IIK El Naco (Mall La Avenida),$$ • Mexicana,,,"Cra. 14 #26 Norte-111 A 26 Norte-171, Armenia, Quindío 630004 • Más información",https://www.ubereats.com/co/armenia/food-delivery/iik-el-naco-mall-la-avenida/gNelqVHPQJaj8Sr-6gnouQ
23,Sandwich Qbano (Cra 14 - Centro),$$ • Sándwich,4.6,(97),"Cl. 22 Nte. #15-19, Armenia, Quindío, Colombia,  • Más información",https://www.ubereats.com/co/armenia/food-delivery/sandwich-qbano-cra-14-centro/H5eJ7aunS0-eK-57zhQPOw
