,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
0,Restaurant Contento Baquedano 834,$$ • China,4.7,(371),"Gral. Manuel Baquedano 834, Antofagasta, Región de Antofagasta • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/restaurant-contento-baquedano-834/v5c_KvGTTyy5P_v3CYp5Jw
1,La Ciudad Nueva,$$ • China,4.5,(250),"Maipú 314, Antofagasta, Región de Antofagasta • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/la-ciudad-nueva/G-geeH24TbaDx5BNOxntTQ
2,Hao Yun,$$ • China,4.4,(176),"José Santos Ossa 2137, Antofagasta, Región de Antofagasta 1240000 • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/hao-yun/YtAo6knTTdaSoF9ww23I6Q
3,Ni Hao,$$ • China,4.4,(76),"Av. Argentina 2848, Antofagasta, Antofagasta 1240000 • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/ni-hao/huHtTqP3QA24LRkZi1pGXw
4,Restaurant Ming,$$ • China,4.5,(45),"Maipú 912, Antofagasta, Región de Antofagasta 1240000 • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/restaurant-ming/Xk2P1CBrQyK7-GcDEC0Txg
5,Master Chef,$$ • Sándwich,4.4,(57),"Av. Argentina 0351, Antofagasta • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/master-chef/TCUhr9FVQ2KHTkOQlCHbIw
6,Restaurant Fung Hua,$ • China,4.7,(50),"Av. Gral. Bernardo O'Higgins 1308, Antofagasta, Región de Antofagasta • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/restaurant-fung-hua/dIULLR5uSRWPzaEcHuC0xg
7,Restaurant Montaña China,$ • China,4.7,(234),"Av. Angamos 212, Región De Antofagasta, Antofagasta 1240000 • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/restaurant-montana-china/HgfVkNWjQoaqeq7_SGiqeg
8,Rincón Oriental,$ • China,4.5,(104),"Jorge Washington 2743, Antofagasta, Región de Antofagasta • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/rincon-oriental/ayyZMZHkTOW00wYZfcbWkw
9,Minami Sushi ,$ • Sushi,4.6,(500+),"Av. Grecia 1748, Antofagasta, Región de Antofagasta • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/minami-sushi/2kvO486lTyuAcmvu30D4-w
10,Okinawa Sushi & delivery - Buenos Aires,$$ • Sushi,4.5,(500+),"Buenos Aires 795, Antofagasta, Región De Antofagasta, Chile,  • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/okinawa-sushi-%26-delivery-buenos-aires/ldfGcPLKQGatjQNbmKif_w
11,Central Sushi,$$ • Sushi,4.6,(130),"Domingo Faustino Sarmiento 4606, Antofagasta, Chile,  • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/central-sushi/6a2jAI4CQuiXLAH4qiLF7Q
12,Minami Sushi - Angamos,$$ • Sushi,4.6,(189),"Avenida Angamos 492, Antofagasta, Antofagasta 1240000 • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/minami-sushi-angamos/gqJfVjf9S9ulCSb-QAiMoA
13,Rey - Le Sushi Delivery,$$ • Sushi,4.3,(51),"Peñuelas 530, Antofagasta, Región De Antofagasta, Chile,  • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/rey-le-sushi-delivery/keCjzM5BTkOeQYKCgpeTxQ
14,Sushi Edomae Sur,$ • Japonesa,4.6,(45),"Copiapó 1298, Antofagasta, Región de Antofagasta • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/sushi-edomae-sur/3Yb5an0pTKKwrkOGVM88CQ
15,Enkai Sushi y Pizzas,$$ • Sushi,4.5,(23),"Calle Jorge Washington 2421, Antofagasta, Región de Antofagasta 1240000 • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/enkai-sushi-y-pizzas/t_RmCiVFQD-60hfi0mChmQ
16,Restaurant Sushi Majuyen,$ • Sushi,,,"José De San Martín 2326, Antofagasta, Región De Antofagasta, Chile,  • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/restaurant-sushi-majuyen/trze3wqTT76v88NuNtRg_w
17,Syp Enkai,$$ • Sushi,4.1,(10),"Av. República De Croacia 84, Antofagasta, Región de Antofagasta 1240000 • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/syp-enkai/uKFU3u0LScqmtHSq6727eg
18,Master Chef Sandwich,$$ • Sushi,4.4,(81),"Av. Argentina 0351, Antofagasta, Chile,  • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/master-chef-sandwich/jAIVcTFwR4e36Ub0lH-V7w
19,Montaña China - Sushi,$ • Sushi,,,"Angamos 212, Antofagasta,  1240000 • Más información",https://www.ubereats.com/cl/antofagasta/food-delivery/montana-china-sushi/kt7sL8xXTuSM-6TsVaSruw
