,Nombre,Categoria_Especifica,Calificacion,Reviews,Direccion,Url
0,Cafe Ibiza,$$ • Cafetería,,,"Café Ibiza (Downtown ~ Ambato), Tungurahua • Más información",https://www.ubereats.com/ec/ambato/food-delivery/cafe-ibiza/n0vldW1hS12fOXRReaZ6AA
1,Buffalos (Paseo Shopping),$$,,,"El Paseo Shopping Ambato, Tungurahua • Más información",https://www.ubereats.com/ec/ambato/food-delivery/buffalos-paseo-shopping/_LUVReTgQlSVVCMtlWrG6A
2,El Parrillero,$ • BBQ,,,"Ambato 180202, Ecuador,  • Más información",https://www.ubereats.com/ec/ambato/food-delivery/el-parrillero/bNgI8lKvRjmKCRBUIVQFyA
3,La Vacona Grill,$$ • BBQ • Opciones para alérgicos,,,"La Vacona Grill, Ambato, Tungurahua 180103 • Más información",https://www.ubereats.com/ec/ambato/food-delivery/la-vacona-grill/ouxlYUN2Seik5AZgC3RqEg
4,Buffalos (Mall de los Andes),$$ • Pollo • BBQ,,,"Mall Los Andes, Ambato, Tungurahua 180207 • Más información",https://www.ubereats.com/ec/ambato/food-delivery/buffalos-mall-de-los-andes/TWtrQsbgQpuc5HKmt7SYMA
5,American Pollo (Cevallos) ,BBQ • Pollo • Hamburguesas,,,"Mariano Eguez, Ambato 180109, Ecuador,  • Más información",https://www.ubereats.com/ec/ambato/food-delivery/american-pollo-cevallos/rIOWJcJIQ26wY91cmXCtKw
6,La Tablita del Tártaro (Mall de los Andes),$ • Filetes • BBQ • Saludable,4.8,(12),"Avenida Atahualpa Y Víctor Hugo, Ambato 180207, Ecuador,  • Más información",https://www.ubereats.com/ec/ambato/food-delivery/la-tablita-del-tartaro-mall-de-los-andes/AE5m-36pQGSGXX7vNxLrMA
7,Punto Parilla (Huachi Chico),$$ • Latina,,,"Av Atahualpa & Segundo Granja Almeida, Ambato 180103, Ecuador,  • Más información",https://www.ubereats.com/ec/ambato/food-delivery/punto-parilla-huachi-chico/lqcjuwYTQjys9EgIwFrhjw
8,"El ""10"" Sport Parrilla",,,,"Q968+Mp Ambato, Ecuador,  • Más información",https://www.ubereats.com/ec/ambato/food-delivery/el-%2210%22-sport-parrilla/NCQ7VElhQzS2Pewg7nmvxw
9,Doble Filo,$$ • BBQ,,,"Doble Filo, Ambato, Tungurahua 180207 • Más información",https://www.ubereats.com/ec/ambato/food-delivery/doble-filo/C2kjNU15T32qXsyyI1_oJg
10,The Gru,$ • BBQ • Filetes,,,"Víctor Hugo, Ambato 180103, Ecuador,  • Más información",https://www.ubereats.com/ec/ambato/food-delivery/the-gru/Ye2WFVMDRcWTTfPNWXT3GA
